Week,    DateRange,          PlannedEffort,  ActualEffort,  OtherDeadlines
4, 29th Jan -  4th Feb,7,9.5,Lexical Analysis Lab
5,  5th Feb - 11th Feb,12,7,Communications Lab LogBook Submission
6, 12th Feb - 18th Feb,7,27,"Communications Lab Oral Examination, Databases CW,Distributed Systems & Networks"
7, 19th Feb - 25th Feb,16,22,None
8, 26th Feb -  4th Mar,12,38,"Database CW2, Regex/Lexers Test – Cancelled"
9,  5th Mar - 11th Mar,14,70,Grammars/Parsers Test – Cancelled
10, 12th Mar - 18th Mar,9,70,"Compilers/CodeGeneration Test – Cancelled, Maths Numerical Analysis CourseWork"
11, 19th Mar - 30th Mar,17,186.5,None
